date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:30:21	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2000:30:21%20GMT	https://webpac.npac-ntch.org/robots.txt		(from )
08:30:22	47295/47295	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2000:30:21%20GMT	https://webpac.npac-ntch.org/	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/index.html	(from )
08:30:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2029%20Aug%202022%2000:30:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/NTCH/www.googletagmanager.com/gtm.05445.delayed	(from https://webpac.npac-ntch.org/)
08:30:22	579/579	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Apr%202022%2005:42:20%20GMT	https://webpac.npac-ntch.org/static/igrid/img/favicon.svg	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/img/favicon.svg	(from https://webpac.npac-ntch.org/)
08:30:22	173643/173643	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/css/bootstrap.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/bootstrap.min.css	(from https://webpac.npac-ntch.org/)
08:30:23	73271/73271	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/css/bootstrap-icons.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/bootstrap-icons.css	(from https://webpac.npac-ntch.org/)
08:30:23	10820/10820	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:36%20GMT	https://webpac.npac-ntch.org/static/igrid/css/tailwind.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/tailwind.min.css	(from https://webpac.npac-ntch.org/)
08:30:23	59305/59305	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/css/fontawesome.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/fontawesome.min.css	(from https://webpac.npac-ntch.org/)
08:30:23	5949/5949	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/css/splide.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/splide.min.css	(from https://webpac.npac-ntch.org/)
08:30:23	11084/11084	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/css/ion.rangeSlider.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/ion.rangeSlider.min.css	(from https://webpac.npac-ntch.org/)
08:30:24	13838/13838	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:38%20GMT	https://webpac.npac-ntch.org/static/igrid/css/main.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/main.min.css	(from https://webpac.npac-ntch.org/)
08:30:24	3213/3213	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:38%20GMT	https://webpac.npac-ntch.org/static/igrid/css/colors.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/colors.min.css	(from https://webpac.npac-ntch.org/)
08:30:24	6093/6093	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2005:40:38%20GMT	https://webpac.npac-ntch.org/static/igrid/css/style.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/style.min.css	(from https://webpac.npac-ntch.org/)
08:30:24	30724/30724	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Mar%202022%2002:18:12%20GMT	https://webpac.npac-ntch.org/static/igrid/css/jquery-ui.min.css	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/css/jquery-ui.min.css	(from https://webpac.npac-ntch.org/)
08:30:25	89501/89501	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/js/jquery.min.js	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/js/jquery.min.js	(from https://webpac.npac-ntch.org/)
08:30:25	27529/27529	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/js/splide.min.js	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/js/splide.min.js	(from https://webpac.npac-ntch.org/)
08:30:25	41171/41171	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Apr%202022%2005:40:18%20GMT	https://webpac.npac-ntch.org/static/igrid/js/ion.rangeSlider.min.js	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/js/ion.rangeSlider.min.js	(from https://webpac.npac-ntch.org/)
08:30:25	27387/27387	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Apr%202022%2005:42:20%20GMT	https://webpac.npac-ntch.org/static/igrid/img/logo.svg	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/img/logo.svg	(from https://webpac.npac-ntch.org/)
08:30:25	1102/1102	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Apr%202022%2005:42:20%20GMT	https://webpac.npac-ntch.org/static/igrid/img/book.svg	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/static/igrid/img/book.svg	(from https://webpac.npac-ntch.org/)
08:30:26	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Aug%202022%2000:30:25%20GMT	https://webpac.npac-ntch.org/user/accounts/login/?next=	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/user/accounts/login/index4726.html	(from https://webpac.npac-ntch.org/)
08:30:26	141094/141094	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22eadd1274a6d48d87dac2bdc6d0c2e552%22	https://serv.npac-ntch.org/CD/31B/C031697.jpg	C:/My%20Web%20Sites/NTCH/serv.npac-ntch.org/CD/31B/C031697.jpg	(from https://webpac.npac-ntch.org/)
08:30:26	32129/32129	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2000:30:26%20GMT	https://webpac.npac-ntch.org/?tab=journal	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/indexca1f.html	(from https://webpac.npac-ntch.org/)
08:30:26	177394/177394	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22be138b09bb306e3e220887a67014983a%22	https://serv.npac-ntch.org/CD/31B/C031761.jpg	C:/My%20Web%20Sites/NTCH/serv.npac-ntch.org/CD/31B/C031761.jpg	(from https://webpac.npac-ntch.org/)
08:30:26	47973/47973	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2000:30:26%20GMT	https://webpac.npac-ntch.org/?tab=audiovisual_material	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/index7952.html	(from https://webpac.npac-ntch.org/)
08:30:27	48308/48308	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2000:30:26%20GMT	https://webpac.npac-ntch.org/?tab=digital_archive	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/indexd6a1.html	(from https://webpac.npac-ntch.org/)
08:30:27	116506/116506	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22a5b1ce2e742ec6f66902402b8ef5dfcd%22	https://serv.npac-ntch.org/CD/31B/C031797.jpg	C:/My%20Web%20Sites/NTCH/serv.npac-ntch.org/CD/31B/C031797.jpg	(from https://webpac.npac-ntch.org/)
08:30:27	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Aug%202022%2000:30:26%20GMT	https://webpac.npac-ntch.org/eresources/	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/eresources/index.html	(from https://webpac.npac-ntch.org/)
08:30:27	174987/174987	---MCZ	200	added ('OK')	image/jpeg	etag:W/%222cec123512b781730376e8221ca95376%22	https://serv.npac-ntch.org/CD/31B/C031773.jpg	C:/My%20Web%20Sites/NTCH/serv.npac-ntch.org/CD/31B/C031773.jpg	(from https://webpac.npac-ntch.org/)
08:30:27	204588/204588	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2000:30:27%20GMT	https://webpac.npac-ntch.org/latest/?filter_bool=and&filter_term=%22cd%22&filter_field=category.raw&filter_op=term&order_by=-regno&tabaction=cd&form=grid&init=1	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/latest/index793c.html	(from https://webpac.npac-ntch.org/)
08:30:28	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Aug%202022%2000:30:27%20GMT	https://webpac.npac-ntch.org/user/accounts/login/?next=/me/info/	C:/My%20Web%20Sites/NTCH/webpac.npac-ntch.org/user/accounts/login/index6ec6.html	(from https://webpac.npac-ntch.org/)
08:30:28	207655/207655	---MCZ	200	added ('OK')	image/jpeg	etag:W/%226c1bf50d58e450fe9d019c4cc8b27f83%22	https://serv.npac-ntch.org/CD/31B/C031760.jpg	C:/My%20Web%20Sites/NTCH/serv.npac-ntch.org/CD/31B/C031760.jpg	(from https://webpac.npac-ntch.org/)
