date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:40	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2005:45:40%20GMT	http://dataverse.harvard.edu/dataverse/harvard?q=xml	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu/dataverse/harvard.0227e.delayed	(from )
13:45:42	96762/96762	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2005:45:42%20GMT	https://dataverse.harvard.edu:443/dataverse/harvard?q=xml	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/dataverse/harvard227e.html	(from )
13:45:43	108580/108580	---MC-	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-61753334-1	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/www.googletagmanager.com/gtag/js0cbe	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:43	34908/34908	---MC-	200	added ('OK')	text/css	date:Tue,%2009%20Aug%202022%2000:46:55%20GMT	https://dataverse.harvard.edu:443/javax.faces.resource/theme.css.xhtml;jsessionid=e949dbaac3f2d601284dd956e917?ln=primefaces-bootstrap&v=11.0.0	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/javax.faces.resource/theme.css519a.css	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:44	10172/10172	---MC-	200	added ('OK')	text/css	date:Tue,%2009%20Aug%202022%2000:46:55%20GMT	https://dataverse.harvard.edu:443/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=e949dbaac3f2d601284dd956e917?ln=primefaces&v=11.0.0	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/javax.faces.resource/primeicons/primeicons.cssef2e.css	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:44	7835/7835	---M--	200	added ('OK')	text/javascript	date:Tue,%2009%20Aug%202022%2000:46:55%20GMT	https://dataverse.harvard.edu:443/javax.faces.resource/omnifaces.js.xhtml;jsessionid=e949dbaac3f2d601284dd956e917?ln=omnifaces&v=3.8	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/javax.faces.resource/omnifaces.jse4ec.xhtml;jsessionid=e949dbaac3f2d601284dd956e917	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:44	26865/26865	---MC-	404	error ('Not%20Found')	application/xhtml+xml	date:Wed,%2021%20Sep%202022%2005:45:44%20GMT	https://dataverse.harvard.edu:443/dataverse/	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/dataverse/index.html	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:44	89500/89500	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Aug%202022%2000:46:55%20GMT	https://dataverse.harvard.edu:443/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=e949dbaac3f2d601284dd956e917?ln=primefaces&v=11.0.0	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/javax.faces.resource/jquery/jquery.jsef2e.xhtml;jsessionid=e949dbaac3f2d601284dd956e917	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:44	90978/90978	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Aug%202022%2000:46:55%20GMT	https://dataverse.harvard.edu:443/javax.faces.resource/core.js.xhtml;jsessionid=e949dbaac3f2d601284dd956e917?ln=primefaces&v=11.0.0	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/javax.faces.resource/core.jsef2e.xhtml;jsessionid=e949dbaac3f2d601284dd956e917	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
13:45:45	363076/363076	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Aug%202022%2000:46:55%20GMT	https://dataverse.harvard.edu:443/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=e949dbaac3f2d601284dd956e917?ln=primefaces&v=11.0.0	D:/SynologyDrive/Wenr%20Project/2022-09-21_harvard_dataverse/dataverse/dataverse.harvard.edu_443/javax.faces.resource/jquery/jquery-plugins.jsef2e.xhtml;jsessionid=e949dbaac3f2d601284dd956e917	(from https://dataverse.harvard.edu:443/dataverse/harvard?q=xml)
